,periodStartUnix,liquidity,high,low,close,feeGrowthGlobal0X128,feeGrowthGlobal1X128,pool.totalValueLockedUSD,pool.totalValueLockedToken1,pool.totalValueLockedToken0,pool.token0.decimals,pool.token1.decimals
0,1704711600.0,1.6670310997547465e+19,2229.0293879664855,2223.2203627700023,2223.3277025599814,2.5553786747254596e+33,1.2374500403240444e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
1,1704708000.0,1.202822971367585e+19,2228.749300790818,2209.801686810104,2227.8216649725114,2.5553717849157012e+33,1.2374432422849909e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
2,1704704400.0,1.0210884947790098e+19,2225.7868696277233,2203.3775436551477,2211.1811465387536,2.5553201359541293e+33,1.2374335219035031e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
3,1704700800.0,1.0206644745212205e+19,2234.1015687567356,2223.2928904394025,2223.2928904394025,2.5552657688367855e+33,1.2373986727451254e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
4,1704697200.0,1.0301650601371711e+19,2230.691580907914,2213.1779305627592,2225.786265410579,2.5552359776472157e+33,1.2373837141623264e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
5,1704693600.0,1.0207133618060694e+19,2222.846864999993,2196.065101499581,2213.155051185419,2.5551754064871014e+33,1.2373667454919282e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
6,1704690000.0,1.1017796463744346e+19,2197.8056509999883,2190.657194446852,2196.153363615317,2.5550921088017682e+33,1.2373430837758838e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
7,1704686400.0,1.595604408185676e+19,2198.516131903561,2190.0479968235963,2197.4643060275525,2.5550670662008127e+33,1.2373305713959944e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
8,1704682800.0,1.861498328729409e+19,2192.5656310920635,2170.72490615026,2191.6828104015112,2.5550326570224237e+33,1.2373196746842723e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
9,1704679200.0,1.722575211370569e+19,2207.834255876697,2176.5438430001564,2184.259935710799,2.554945067625672e+33,1.2372857000423545e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
10,1704675600.0,1.4840445328745007e+19,2209.374145468295,2196.400178633867,2206.29610875581,2.554842826448746e+33,1.2372210188897954e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
11,1704672000.0,1.0213189228989309e+19,2222.61754028579,2195.28925177668,2197.0056094052684,2.5547880865655484e+33,1.2372031311720427e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
12,1704668400.0,9.710712628985377e+18,2224.7798907569777,2212.328121856649,2221.305450782043,2.5547276326803077e+33,1.23715634567374e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
13,1704664800.0,9.666306386555689e+18,2241.3885982698102,2212.578190354274,2217.343596943752,2.5546586602228608e+33,1.237128455909722e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
14,1704661200.0,1.1499827068996389e+19,2246.2158521249767,2237.677567,2241.574794754683,2.5546001953236445e+33,1.2370826375164267e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
15,1704657600.0,1.1499235450542006e+19,2251.0976384387527,2241.467430461557,2241.467430461557,2.5545712690597974e+33,1.2370686261901281e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
16,1704654000.0,1.1412909125278276e+19,2249.783696383952,2244.059102592916,2249.6631480669685,2.5545430497392682e+33,1.2370506939958004e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
17,1704650400.0,1.1377300700331815e+19,2249.0116099999846,2239.2066125628144,2247.036589535747,2.554529620677849e+33,1.2370467301904207e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
18,1704646800.0,1.137620053352438e+19,2242.7716699999855,2224.951690210896,2240.054991832869,2.5545063258611452e+33,1.237041917130538e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
19,1704643200.0,1.1286911895297597e+19,2235.6455875212755,2213.925407934748,2228.8292261813863,2.5544626183965752e+33,1.2370314233198852e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
20,1704639600.0,1.1359592557074313e+19,2250.3111883606675,2224.98902,2233.298318783836,2.5543955509119385e+33,1.2369976899913137e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
21,1704636000.0,1.1694642977722683e+19,2254.580074310985,2245.6681773880396,2249.9242580383907,2.55434660331543e+33,1.2369624523514838e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
22,1704632400.0,1.2128784390178533e+19,2257.434429041323,2239.4048283355023,2252.844089360259,2.5543227946976378e+33,1.2369495445630397e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
23,1704628800.0,1.1616671293131608e+19,2241.3753653381495,2234.323834029736,2239.437653528505,2.5542784417787289e+33,1.2369405382421939e+42,382322523.4024728,74638.97143752988,216383246.500141,6.0,18.0
